# ImageMagick pixel enumeration: 16,16,65535,srgba
13,11: (62194,33667,7196,65535)  #F2831CFF  srgba(242,131,28,1)
14,11: (62451,42148,7453,65535)  #F3A41DFF  srgba(243,164,29,1)
15,11: (62451,56797,16448,65535)  #F3DD40FF  srgba(243,221,64,1)
0,12: (62451,63736,17733,65535)  #F3F845FF  srgba(243,248,69,1)
1,12: (62708,50115,16448,65535)  #F4C340FF  srgba(244,195,64,1)
2,12: (62965,771,12336,65535)  #F50330FF  srgba(245,3,48,1)
3,12: (62965,33410,16705,65535)  #F58241FF  srgba(245,130,65,1)
4,12: (62965,42405,16705,65535)  #F5A541FF  srgba(245,165,65,1)
5,12: (62965,58596,26214,65535)  #F5E466FF  srgba(245,228,102,1)
6,12: (62965,63222,1542,65535)  #F5F606FF  srgba(245,246,6,1)
7,12: (63222,3341,17990,65535)  #F60D46FF  srgba(246,13,70,1)
8,12: (63479,4112,23130,65535)  #F7105AFF  srgba(247,16,90,1)
9,12: (63479,6682,27756,65535)  #F71A6CFF  srgba(247,26,108,1)
10,12: (63479,11822,36237,65535)  #F72E8DFF  srgba(247,46,141,1)
11,12: (63736,13621,8481,65535)  #F83521FF  srgba(248,53,33,1)
12,12: (63736,64250,25957,65535)  #F8FA65FF  srgba(248,250,101,1)
13,12: (63993,23644,8738,65535)  #F95C22FF  srgba(249,92,34,1)
14,12: (63993,47031,25700,65535)  #F9B764FF  srgba(249,183,100,1)
15,12: (63993,59110,36494,65535)  #F9E68EFF  srgba(249,230,142,1)
0,13: (63993,63736,10280,65535)  #F9F828FF  srgba(249,248,40,1)
1,13: (64250,35723,25186,65535)  #FA8B62FF  srgba(250,139,98,1)
2,13: (64250,63736,47545,65535)  #FAF8B9FF  srgba(250,248,185,1)
3,13: (64250,63993,35466,65535)  #FAF98AFF  srgba(250,249,138,1)
4,13: (64764,0,22616,65535)  #FC0058FF  srgba(252,0,88,1)
5,13: (64764,12593,0,65535)  #FC3100FF  srgba(252,49,0,1)
6,13: (64764,35980,34952,65535)  #FC8C88FF  srgba(252,140,136,1)
7,13: (64764,47288,35209,65535)  #FCB889FF  srgba(252,184,137,1)
8,13: (64764,61166,45746,65535)  #FCEEB2FF  srgba(252,238,178,1)
9,13: (64764,61423,53713,65535)  #FCEFD1FF  srgba(252,239,209,1)
10,13: (64764,63222,60652,65535)  #FCF6ECFF  srgba(252,246,236,1)
11,13: (65021,23387,20046,65535)  #FD5B4EFF  srgba(253,91,78,1)
12,13: (65021,34952,47288,65535)  #FD88B8FF  srgba(253,136,184,1)
13,13: (65021,44718,47031,65535)  #FDAEB7FF  srgba(253,174,183,1)
14,13: (65021,49858,0,65535)  #FDC200FF  srgba(253,194,0,1)
15,13: (65021,53456,46774,65535)  #FDD0B6FF  srgba(253,208,182,1)
0,14: (65021,53456,60652,65535)  #FDD0ECFF  srgba(253,208,236,1)
1,14: (65021,56283,0,65535)  #FDDB00FF  srgba(253,219,0,1)
2,14: (65021,61680,62451,65535)  #FDF0F3FF  srgba(253,240,243,1)
3,14: (65021,63993,10280,65535)  #FDF928FF  srgba(253,249,40,1)
4,14: (65021,63993,17733,65535)  #FDF945FF  srgba(253,249,69,1)
5,14: (65278,1542,39321,65535)  #FE0699FF  srgba(254,6,153,1)
6,14: (65278,6682,60395,65535)  #FE1AEBFF  srgba(254,26,235,1)
7,14: (65278,10537,19275,65535)  #FE294BFF  srgba(254,41,75,1)
