# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,19018,61423,65535)  #004AEFFF  srgba(0,74,239,1)
1,3: (4112,46003,62965,65535)  #10B3F5FF  srgba(16,179,245,1)
2,3: (4369,25186,46774,65535)  #1162B6FF  srgba(17,98,182,1)
3,3: (5140,30069,50372,65535)  #1475C4FF  srgba(20,117,196,1)
4,3: (6939,57054,61937,65535)  #1BDEF1FF  srgba(27,222,241,1)
5,3: (7196,42405,62451,65535)  #1CA5F3FF  srgba(28,165,243,1)
6,3: (7453,50115,62965,65535)  #1DC3F5FF  srgba(29,195,245,1)
7,3: (7710,37522,57568,65535)  #1E92E0FF  srgba(30,146,224,1)
8,3: (8224,7967,8224,65535)  #201F20FF  srgba(32,31,32,1)
9,3: (8224,26728,39578,65535)  #20689AFF  srgba(32,104,154,1)
10,3: (8224,34952,50372,65535)  #2088C4FF  srgba(32,136,196,1)
11,3: (8738,21845,61937,65535)  #2255F1FF  srgba(34,85,241,1)
12,3: (8738,41634,57568,65535)  #22A2E0FF  srgba(34,162,224,1)
13,3: (9509,40092,52428,65535)  #259CCCFF  srgba(37,156,204,1)
14,3: (9509,46003,62965,65535)  #25B3F5FF  srgba(37,179,245,1)
15,3: (9766,31868,63479,65535)  #267CF7FF  srgba(38,124,247,1)
0,4: (10023,37779,61937,65535)  #2793F1FF  srgba(39,147,241,1)
1,4: (10280,48573,57568,65535)  #28BDE0FF  srgba(40,189,224,1)
2,4: (10794,43433,52685,65535)  #2AA9CDFF  srgba(42,169,205,1)
3,4: (11051,22616,57568,65535)  #2B58E0FF  srgba(43,88,224,1)
4,4: (11308,31868,57568,65535)  #2C7CE0FF  srgba(44,124,224,1)
5,4: (11308,48830,52942,65535)  #2CBECEFF  srgba(44,190,206,1)
6,4: (12593,24158,53970,65535)  #315ED2FF  srgba(49,94,210,1)
7,4: (12850,31868,53713,65535)  #327CD1FF  srgba(50,124,209,1)
8,4: (13107,27499,62965,65535)  #336BF5FF  srgba(51,107,245,1)
9,4: (13107,42405,62708,65535)  #33A5F4FF  srgba(51,165,244,1)
10,4: (13364,35980,53970,65535)  #348CD2FF  srgba(52,140,210,1)
11,4: (13621,15420,18504,65535)  #353C48FF  srgba(53,60,72,1)
12,4: (13621,30069,46774,65535)  #3575B6FF  srgba(53,117,182,1)
13,4: (14392,14392,14392,65535)  #383838FF  grey22
14,4: (15163,37522,57568,65535)  #3B92E0FF  srgba(59,146,224,1)
15,4: (15934,22102,61937,65535)  #3E56F1FF  srgba(62,86,241,1)
0,5: (16191,29041,50115,65535)  #3F71C3FF  srgba(63,113,195,1)
1,5: (16448,35980,50372,65535)  #408CC4FF  srgba(64,140,196,1)
2,5: (16962,41634,57568,65535)  #42A2E0FF  srgba(66,162,224,1)
3,5: (17219,31868,63479,65535)  #437CF7FF  srgba(67,124,247,1)
4,5: (17219,46260,63222,65535)  #43B4F6FF  srgba(67,180,246,1)
5,5: (17476,37779,62194,65535)  #4493F2FF  srgba(68,147,242,1)
6,5: (17476,49601,63222,65535)  #44C1F6FF  srgba(68,193,246,1)
7,5: (17476,56026,62708,65535)  #44DAF4FF  srgba(68,218,244,1)
8,5: (17733,40092,52942,65535)  #459CCEFF  srgba(69,156,206,1)
9,5: (18761,43947,53456,65535)  #49ABD0FF  srgba(73,171,208,1)
10,5: (18761,48830,57568,65535)  #49BEE0FF  srgba(73,190,224,1)
11,5: (19018,42405,62965,65535)  #4AA5F5FF  srgba(74,165,245,1)
12,5: (19018,50886,53713,65535)  #4AC6D1FF  srgba(74,198,209,1)
13,5: (19532,19275,19532,65535)  #4C4B4CFF  srgba(76,75,76,1)
14,5: (23644,33924,57568,65535)  #5C84E0FF  srgba(92,132,224,1)
15,5: (23644,38036,57568,65535)  #5C94E0FF  srgba(92,148,224,1)
0,6: (23901,24929,57568,65535)  #5D61E0FF  srgba(93,97,224,1)
1,6: (23901,28013,32896,65535)  #5D6D80FF  srgba(93,109,128,1)
2,6: (24158,32639,53970,65535)  #5E7FD2FF  srgba(94,127,210,1)
3,6: (24158,36494,53970,65535)  #5E8ED2FF  srgba(94,142,210,1)
4,6: (24158,59110,56797,65535)  #5EE6DDFF  srgba(94,230,221,1)
5,6: (24672,23901,54227,65535)  #605DD3FF  srgba(96,93,211,1)
6,6: (24929,42148,62708,65535)  #61A4F4FF  srgba(97,164,244,1)
7,6: (24929,50115,62965,65535)  #61C3F5FF  srgba(97,195,245,1)
8,6: (25186,35980,50372,65535)  #628CC4FF  srgba(98,140,196,1)
9,6: (25186,46003,62965,65535)  #62B3F5FF  srgba(98,179,245,1)
10,6: (25443,43947,57568,65535)  #63ABE0FF  srgba(99,171,224,1)
11,6: (25700,27242,62965,65535)  #646AF5FF  srgba(100,106,245,1)
12,6: (25700,33410,62965,65535)  #6482F5FF  srgba(100,130,245,1)
13,6: (25700,38293,62194,65535)  #6495F2FF  srgba(100,149,242,1)
14,6: (26471,34952,47031,65535)  #6788B7FF  srgba(103,136,183,1)
15,6: (26985,53456,57568,65535)  #69D0E0FF  srgba(105,208,224,1)
0,7: (27499,27499,27499,65535)  #6B6B6BFF  grey42
1,7: (27499,41120,51143,65535)  #6BA0C7FF  srgba(107,160,199,1)
2,7: (27756,41377,54741,65535)  #6CA1D5FF  srgba(108,161,213,1)
3,7: (27756,54227,62194,65535)  #6CD3F2FF  srgba(108,211,242,1)
4,7: (28013,26214,47031,65535)  #6D66B7FF  srgba(109,102,183,1)
5,7: (28013,47288,53970,65535)  #6DB8D2FF  srgba(109,184,210,1)
