# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,7967,65535)  #00001FFF  srgba(0,0,31,1)
4,7: (257,0,42148,65535)  #0100A4FF  srgba(1,0,164,1)
5,7: (257,257,514,65535)  #010102FF  srgba(1,1,2,1)
6,7: (257,2827,771,65535)  #010B03FF  srgba(1,11,3,1)
7,7: (257,3341,4626,65535)  #010D12FF  srgba(1,13,18,1)
8,7: (257,3341,21331,65535)  #010D53FF  srgba(1,13,83,1)
9,7: (257,3598,8738,65535)  #010E22FF  srgba(1,14,34,1)
10,7: (257,6682,771,65535)  #011A03FF  srgba(1,26,3,1)
11,7: (257,8995,514,65535)  #012302FF  srgba(1,35,2,1)
12,7: (257,10280,0,65535)  #012800FF  srgba(1,40,0,1)
13,7: (257,11051,0,65535)  #012B00FF  srgba(1,43,0,1)
14,7: (257,13107,1028,65535)  #013304FF  srgba(1,51,4,1)
15,7: (257,13621,9766,65535)  #013526FF  srgba(1,53,38,1)
0,8: (257,13878,20560,65535)  #013650FF  srgba(1,54,80,1)
1,8: (257,14135,4883,65535)  #013713FF  srgba(1,55,19,1)
2,8: (257,17733,6939,65535)  #01451BFF  srgba(1,69,27,1)
3,8: (257,18761,11822,65535)  #01492EFF  srgba(1,73,46,1)
4,8: (257,21845,13364,65535)  #015534FF  srgba(1,85,52,1)
5,8: (257,24415,15420,65535)  #015F3CFF  srgba(1,95,60,1)
6,8: (257,24929,19018,65535)  #01614AFF  srgba(1,97,74,1)
7,8: (257,25443,22102,65535)  #016356FF  srgba(1,99,86,1)
8,8: (257,29298,22359,65535)  #017257FF  srgba(1,114,87,1)
9,8: (257,30326,25443,65535)  #017663FF  srgba(1,118,99,1)
10,8: (514,10023,1285,65535)  #022705FF  srgba(2,39,5,1)
11,8: (514,24415,17219,65535)  #025F43FF  srgba(2,95,67,1)
12,8: (771,771,25957,65535)  #030365FF  srgba(3,3,101,1)
13,8: (771,1542,4369,65535)  #030611FF  srgba(3,6,17,1)
14,8: (771,3084,13107,65535)  #030C33FF  srgba(3,12,51,1)
15,8: (771,4369,257,65535)  #031101FF  srgba(3,17,1,1)
0,9: (771,6425,2313,65535)  #031909FF  srgba(3,25,9,1)
1,9: (771,11051,21331,65535)  #032B53FF  srgba(3,43,83,1)
2,9: (771,13878,3341,65535)  #03360DFF  srgba(3,54,13,1)
3,9: (771,16448,5911,65535)  #034017FF  srgba(3,64,23,1)
4,9: (771,19789,13621,65535)  #034D35FF  srgba(3,77,53,1)
5,9: (1028,0,39835,65535)  #04009BFF  srgba(4,0,155,1)
6,9: (1028,5140,1799,65535)  #041407FF  srgba(4,20,7,1)
7,9: (1028,10023,2056,65535)  #042708FF  srgba(4,39,8,1)
8,9: (1028,28013,23387,65535)  #046D5BFF  srgba(4,109,91,1)
9,9: (1285,5140,2056,65535)  #051408FF  srgba(5,20,8,1)
10,9: (1285,22359,22873,65535)  #055759FF  srgba(5,87,89,1)
11,9: (1542,10280,3341,65535)  #06280DFF  srgba(6,40,13,1)
12,9: (1542,13878,13107,65535)  #063633FF  srgba(6,54,51,1)
13,9: (1542,23387,25957,65535)  #065B65FF  srgba(6,91,101,1)
14,9: (1799,4883,2827,65535)  #07130BFF  srgba(7,19,11,1)
15,9: (1799,19532,15163,65535)  #074C3BFF  srgba(7,76,59,1)
0,10: (2056,30840,27499,65535)  #08786BFF  srgba(8,120,107,1)
1,10: (2827,14135,2570,65535)  #0B370AFF  srgba(11,55,10,1)
2,10: (3084,11308,23901,65535)  #0C2C5DFF  srgba(12,44,93,1)
3,10: (3084,24415,15677,65535)  #0C5F3DFF  srgba(12,95,61,1)
4,10: (3084,27499,16962,65535)  #0C6B42FF  srgba(12,107,66,1)
5,10: (3598,33410,23644,65535)  #0E825CFF  srgba(14,130,92,1)
6,10: (4112,18504,5654,65535)  #104816FF  srgba(16,72,22,1)
7,10: (4626,514,41634,65535)  #1202A2FF  srgba(18,2,162,1)
8,10: (4626,23644,32382,65535)  #125C7EFF  srgba(18,92,126,1)
9,10: (5654,0,40349,65535)  #16009DFF  srgba(22,0,157,1)
10,10: (5654,514,45489,65535)  #1602B1FF  srgba(22,2,177,1)
11,10: (5654,3341,13364,65535)  #160D34FF  srgba(22,13,52,1)
12,10: (5654,28527,34695,65535)  #166F87FF  srgba(22,111,135,1)
13,10: (5911,771,25443,65535)  #170363FF  srgba(23,3,99,1)
14,10: (6425,22359,6168,65535)  #195718FF  srgba(25,87,24,1)
15,10: (6939,32382,17219,65535)  #1B7E43FF  srgba(27,126,67,1)
0,11: (7196,3341,3598,65535)  #1C0D0EFF  srgba(28,13,14,1)
1,11: (7196,16448,2570,65535)  #1C400AFF  srgba(28,64,10,1)
2,11: (7967,1028,40863,65535)  #1F049FFF  srgba(31,4,159,1)
3,11: (8481,11051,1285,65535)  #212B05FF  srgba(33,43,5,1)
4,11: (8995,34181,38293,65535)  #238595FF  srgba(35,133,149,1)
5,11: (9509,4369,39321,65535)  #251199FF  srgba(37,17,153,1)
