# ImageMagick pixel enumeration: 16,16,65535,srgba
10,13: (49601,27756,3084,65535)  #C16C0CFF  srgba(193,108,12,1)
11,13: (49601,28270,4883,65535)  #C16E13FF  srgba(193,110,19,1)
12,13: (49858,26214,771,65535)  #C26603FF  srgba(194,102,3,1)
13,13: (50115,27756,1542,65535)  #C36C06FF  srgba(195,108,6,1)
14,13: (50115,31354,10537,65535)  #C37A29FF  srgba(195,122,41,1)
15,13: (50115,35466,19789,65535)  #C38A4DFF  srgba(195,138,77,1)
0,14: (50372,29298,6168,65535)  #C47218FF  srgba(196,114,24,1)
1,14: (50629,29298,4112,65535)  #C57210FF  srgba(197,114,16,1)
2,14: (50629,30583,7453,65535)  #C5771DFF  srgba(197,119,29,1)
3,14: (50886,32125,13107,65535)  #C67D33FF  srgba(198,125,51,1)
4,14: (51143,35209,17733,65535)  #C78945FF  srgba(199,137,69,1)
5,14: (51400,27499,1285,65535)  #C86B05FF  srgba(200,107,5,1)
6,14: (51400,34438,14392,65535)  #C88638FF  srgba(200,134,56,1)
7,14: (51657,28270,3341,65535)  #C96E0DFF  srgba(201,110,13,1)
8,14: (51657,51143,51657,65535)  #C9C7C9FF  srgba(201,199,201,1)
9,14: (51914,29041,2570,65535)  #CA710AFF  srgba(202,113,10,1)
10,14: (52171,30069,5397,65535)  #CB7515FF  srgba(203,117,21,1)
11,14: (52428,27756,1285,65535)  #CC6C05FF  srgba(204,108,5,1)
12,14: (52942,32382,10280,65535)  #CE7E28FF  srgba(206,126,40,1)
13,14: (52942,35209,15420,65535)  #CE893CFF  srgba(206,137,60,1)
14,14: (53199,29555,3341,65535)  #CF730DFF  srgba(207,115,13,1)
15,14: (53199,31354,6939,65535)  #CF7A1BFF  srgba(207,122,27,1)
0,15: (53199,34438,12079,65535)  #CF862FFF  srgba(207,134,47,1)
1,15: (54484,30840,5397,65535)  #D47815FF  srgba(212,120,21,1)
2,15: (54484,53970,54484,65535)  #D4D2D4FF  srgba(212,210,212,1)
3,15: (54998,34181,11308,65535)  #D6852CFF  srgba(214,133,44,1)
4,15: (55255,36237,13621,65535)  #D78D35FF  srgba(215,141,53,1)
5,15: (55512,33153,7453,65535)  #D8811DFF  srgba(216,129,29,1)
6,15: (56283,37265,16448,65535)  #DB9140FF  srgba(219,145,64,1)
7,15: (56283,37779,18504,65535)  #DB9348FF  srgba(219,147,72,1)
8,15: (56797,35466,12079,65535)  #DD8A2FFF  srgba(221,138,47,1)
9,15: (57825,37779,14392,65535)  #E19338FF  srgba(225,147,56,1)
10,15: (58082,57568,58339,65535)  #E2E0E3FF  srgba(226,224,227,1)
11,15: (58339,40606,21331,65535)  #E39E53FF  srgba(227,158,83,1)
12,15: (58596,40092,17990,65535)  #E49C46FF  srgba(228,156,70,1)
13,15: (60395,43433,23901,65535)  #EBA95DFF  srgba(235,169,93,1)
14,15: (61166,60652,61423,65535)  #EEECEFFF  srgba(238,236,239,1)
15,15: (0,65535,0,0)  #00FF0000  srgba(0,255,0,0)
