# ImageMagick pixel enumeration: 16,16,65535,srgba
5,12: (53199,61423,47288,65535)  #CFEFB8FF  srgba(207,239,184,1)
6,12: (53456,13878,8738,65535)  #D03622FF  srgba(208,54,34,1)
7,12: (53456,52942,44461,65535)  #D0CEADFF  srgba(208,206,173,1)
8,12: (53456,59110,55512,65535)  #D0E6D8FF  srgba(208,230,216,1)
9,12: (53456,61680,44975,65535)  #D0F0AFFF  srgba(208,240,175,1)
10,12: (53970,16448,0,65535)  #D24000FF  srgba(210,64,0,1)
11,12: (53970,53970,54227,65535)  #D2D2D3FF  srgba(210,210,211,1)
12,12: (53970,54998,52428,65535)  #D2D6CCFF  srgba(210,214,204,1)
13,12: (54998,21074,0,65535)  #D65200FF  srgba(214,82,0,1)
14,12: (55769,55769,55769,65535)  #D9D9D9FF  grey85
15,12: (56283,48316,43176,65535)  #DBBCA8FF  srgba(219,188,168,1)
0,13: (56283,56797,56283,65535)  #DBDDDBFF  srgba(219,221,219,1)
1,13: (56540,21074,771,65535)  #DC5203FF  srgba(220,82,3,1)
2,13: (56540,30583,27756,65535)  #DC776CFF  srgba(220,119,108,1)
3,13: (57568,57568,57054,65535)  #E0E0DEFF  srgba(224,224,222,1)
4,13: (57825,15677,11051,65535)  #E13D2BFF  srgba(225,61,43,1)
5,13: (57825,17219,13621,65535)  #E14335FF  srgba(225,67,53,1)
6,13: (58082,15677,2056,65535)  #E23D08FF  srgba(226,61,8,1)
7,13: (58082,54227,62708,65535)  #E2D3F4FF  srgba(226,211,244,1)
8,13: (58339,16705,0,65535)  #E34100FF  srgba(227,65,0,1)
9,13: (58596,58853,58082,65535)  #E4E5E2FF  srgba(228,229,226,1)
10,13: (58853,47031,39578,65535)  #E5B79AFF  srgba(229,183,154,1)
11,13: (58853,58596,59881,65535)  #E5E4E9FF  srgba(229,228,233,1)
12,13: (59110,26985,19789,65535)  #E6694DFF  srgba(230,105,77,1)
13,13: (59110,55769,48573,65535)  #E6D9BDFF  srgba(230,217,189,1)
14,13: (59624,59624,59624,65535)  #E8E8E8FF  grey91
15,13: (59624,61166,48573,65535)  #E8EEBDFF  srgba(232,238,189,1)
0,14: (60652,60652,60652,65535)  #ECECECFF  srgba(236,236,236,1)
1,14: (60652,60909,58082,65535)  #ECEDE2FF  srgba(236,237,226,1)
2,14: (60909,26214,14392,65535)  #ED6638FF  srgba(237,102,56,1)
3,14: (61423,59110,48573,65535)  #EFE6BDFF  srgba(239,230,189,1)
4,14: (61423,61680,60909,65535)  #EFF0EDFF  srgba(239,240,237,1)
5,14: (61680,39321,28270,65535)  #F0996EFF  srgba(240,153,110,1)
6,14: (61680,60395,43947,65535)  #F0EBABFF  srgba(240,235,171,1)
7,14: (61937,60138,45746,65535)  #F1EAB2FF  srgba(241,234,178,1)
8,14: (62451,21074,11308,65535)  #F3522CFF  srgba(243,82,44,1)
9,14: (62451,53713,43433,65535)  #F3D1A9FF  srgba(243,209,169,1)
10,14: (62451,60652,48316,65535)  #F3ECBCFF  srgba(243,236,188,1)
11,14: (62708,21074,1028,65535)  #F45204FF  srgba(244,82,4,1)
12,14: (62708,54741,45232,65535)  #F4D5B0FF  srgba(244,213,176,1)
13,14: (62708,62451,62451,65535)  #F4F3F3FF  srgba(244,243,243,1)
14,14: (62965,21074,0,65535)  #F55200FF  srgba(245,82,0,1)
15,14: (63479,15934,8481,65535)  #F73E21FF  srgba(247,62,33,1)
0,15: (63479,18247,8738,65535)  #F74722FF  srgba(247,71,34,1)
1,15: (63736,16448,2570,65535)  #F8400AFF  srgba(248,64,10,1)
2,15: (63736,38293,19018,65535)  #F8954AFF  srgba(248,149,74,1)
3,15: (63736,55769,47802,65535)  #F8D9BAFF  srgba(248,217,186,1)
4,15: (63993,63993,63993,65535)  #F9F9F9FF  srgba(249,249,249,1)
5,15: (64250,16962,0,65535)  #FA4200FF  srgba(250,66,0,1)
6,15: (64764,64507,64507,65535)  #FCFBFBFF  srgba(252,251,251,1)
7,15: (65021,20046,514,65535)  #FD4E02FF  srgba(253,78,2,1)
8,15: (65021,21588,0,65535)  #FD5400FF  srgba(253,84,0,1)
9,15: (65021,65021,65021,65535)  #FDFDFDFF  srgba(253,253,253,1)
10,15: (65278,16191,2827,65535)  #FE3F0BFF  srgba(254,63,11,1)
11,15: (65278,17476,0,65535)  #FE4400FF  srgba(254,68,0,1)
12,15: (65278,17990,2056,65535)  #FE4608FF  srgba(254,70,8,1)
13,15: (65278,21074,0,65535)  #FE5200FF  srgba(254,82,0,1)
14,15: (65535,20817,771,65535)  #FF5103FF  srgba(255,81,3,1)
15,15: (0,65535,0,0)  #00FF0000  srgba(0,255,0,0)
